Model #Params: 5110K
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:46: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:44: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
KL: 714.9, Word: 83.90, Topo: 97.56, Assm: 84.55, Steo: 100.00
KL: 739.8, Word: 84.21, Topo: 97.61, Assm: 84.29, Steo: 100.00
KL: 716.2, Word: 84.27, Topo: 97.56, Assm: 84.54, Steo: 100.00
KL: 759.2, Word: 84.50, Topo: 97.49, Assm: 84.59, Steo: 100.00
KL: 752.2, Word: 84.25, Topo: 97.71, Assm: 84.39, Steo: 100.00
KL: 759.9, Word: 84.47, Topo: 97.96, Assm: 83.38, Steo: 100.00
KL: 744.7, Word: 84.83, Topo: 97.57, Assm: 85.52, Steo: 100.00
KL: 786.9, Word: 84.21, Topo: 97.38, Assm: 85.91, Steo: 100.00
KL: 697.3, Word: 85.25, Topo: 97.84, Assm: 85.65, Steo: 100.00
KL: 785.3, Word: 85.16, Topo: 97.49, Assm: 83.77, Steo: 100.00
KL: 705.1, Word: 85.24, Topo: 97.85, Assm: 85.77, Steo: 100.00
KL: 781.6, Word: 85.03, Topo: 97.63, Assm: 86.25, Steo: 100.00
KL: 759.8, Word: 85.35, Topo: 97.89, Assm: 85.54, Steo: 100.00
KL: 813.2, Word: 84.91, Topo: 97.52, Assm: 85.63, Steo: 100.00
KL: 723.6, Word: 84.39, Topo: 97.98, Assm: 85.81, Steo: 100.00
KL: 783.8, Word: 84.92, Topo: 97.66, Assm: 85.43, Steo: 100.00
KL: 762.6, Word: 85.07, Topo: 97.83, Assm: 87.75, Steo: 100.00
KL: 789.4, Word: 85.13, Topo: 98.04, Assm: 87.52, Steo: 100.00
KL: 771.3, Word: 86.02, Topo: 97.78, Assm: 86.95, Steo: 100.00
KL: 749.5, Word: 86.18, Topo: 97.58, Assm: 87.65, Steo: 100.00
KL: 782.4, Word: 85.72, Topo: 98.02, Assm: 87.48, Steo: 100.00
KL: 771.4, Word: 85.79, Topo: 97.71, Assm: 88.07, Steo: 100.00
KL: 765.7, Word: 85.68, Topo: 97.85, Assm: 86.27, Steo: 100.00
KL: 769.1, Word: 85.82, Topo: 97.85, Assm: 87.06, Steo: 100.00
KL: 751.1, Word: 85.56, Topo: 97.83, Assm: 86.53, Steo: 100.00
KL: 795.9, Word: 85.81, Topo: 98.03, Assm: 88.32, Steo: 100.00
KL: 810.9, Word: 86.43, Topo: 97.74, Assm: 87.13, Steo: 100.00
KL: 814.5, Word: 86.97, Topo: 97.92, Assm: 86.89, Steo: 100.00
KL: 868.3, Word: 86.70, Topo: 97.93, Assm: 87.06, Steo: 100.00
KL: 805.9, Word: 86.45, Topo: 97.54, Assm: 86.50, Steo: 100.00
KL: 810.4, Word: 86.55, Topo: 98.14, Assm: 87.28, Steo: 100.00
KL: 795.0, Word: 86.80, Topo: 98.10, Assm: 86.50, Steo: 100.00
KL: 851.1, Word: 86.50, Topo: 98.12, Assm: 87.98, Steo: 100.00
KL: 852.8, Word: 87.03, Topo: 98.19, Assm: 87.96, Steo: 100.00
KL: 908.7, Word: 86.87, Topo: 98.41, Assm: 87.71, Steo: 100.00
KL: 846.2, Word: 86.90, Topo: 98.07, Assm: 87.24, Steo: 100.00
KL: 803.4, Word: 87.00, Topo: 98.19, Assm: 87.56, Steo: 100.00
KL: 860.7, Word: 86.96, Topo: 97.83, Assm: 88.76, Steo: 100.00
KL: 827.6, Word: 87.77, Topo: 97.96, Assm: 88.66, Steo: 100.00
KL: 833.0, Word: 87.27, Topo: 98.12, Assm: 87.66, Steo: 100.00
KL: 848.5, Word: 87.32, Topo: 98.10, Assm: 87.59, Steo: 100.00
KL: 863.7, Word: 86.42, Topo: 98.08, Assm: 89.15, Steo: 100.00
KL: 930.1, Word: 86.78, Topo: 98.19, Assm: 88.61, Steo: 100.00
KL: 832.9, Word: 86.79, Topo: 97.95, Assm: 88.60, Steo: 100.00
KL: 842.3, Word: 86.30, Topo: 97.93, Assm: 87.16, Steo: 100.00
KL: 876.0, Word: 87.35, Topo: 98.06, Assm: 88.20, Steo: 100.00
KL: 889.2, Word: 87.79, Topo: 98.40, Assm: 88.42, Steo: 100.00
KL: 849.3, Word: 87.23, Topo: 98.43, Assm: 89.34, Steo: 100.00
KL: 891.6, Word: 87.03, Topo: 98.27, Assm: 88.62, Steo: 100.00
KL: 825.3, Word: 87.88, Topo: 98.33, Assm: 88.19, Steo: 100.00
KL: 792.2, Word: 88.60, Topo: 98.47, Assm: 87.91, Steo: 100.00
KL: 871.4, Word: 87.61, Topo: 98.19, Assm: 89.16, Steo: 100.00
KL: 859.8, Word: 88.33, Topo: 98.28, Assm: 88.88, Steo: 100.00
KL: 882.6, Word: 87.22, Topo: 98.02, Assm: 89.15, Steo: 100.00
KL: 873.4, Word: 87.69, Topo: 98.15, Assm: 87.68, Steo: 100.00
KL: 869.5, Word: 87.24, Topo: 98.13, Assm: 88.24, Steo: 100.00
KL: 936.7, Word: 88.10, Topo: 98.09, Assm: 89.54, Steo: 100.00
KL: 842.1, Word: 88.04, Topo: 98.13, Assm: 88.20, Steo: 100.00
KL: 858.2, Word: 88.58, Topo: 98.19, Assm: 87.98, Steo: 100.00
KL: 828.0, Word: 88.21, Topo: 98.38, Assm: 88.76, Steo: 100.00
KL: 941.8, Word: 88.55, Topo: 98.28, Assm: 88.39, Steo: 100.00
KL: 869.4, Word: 88.76, Topo: 98.43, Assm: 88.47, Steo: 100.00
KL: 847.9, Word: 88.86, Topo: 98.52, Assm: 89.34, Steo: 100.00
KL: 939.2, Word: 88.10, Topo: 98.42, Assm: 88.71, Steo: 100.00
KL: 889.6, Word: 88.87, Topo: 98.24, Assm: 89.96, Steo: 100.00
KL: 916.5, Word: 88.74, Topo: 98.36, Assm: 89.28, Steo: 100.00
KL: 890.7, Word: 89.36, Topo: 98.48, Assm: 89.45, Steo: 100.00
KL: 937.9, Word: 88.61, Topo: 98.42, Assm: 89.71, Steo: 100.00
KL: 861.9, Word: 88.72, Topo: 98.45, Assm: 89.56, Steo: 100.00
KL: 954.2, Word: 88.96, Topo: 98.32, Assm: 90.44, Steo: 100.00
KL: 907.3, Word: 88.77, Topo: 98.33, Assm: 88.38, Steo: 100.00
KL: 966.2, Word: 89.27, Topo: 98.40, Assm: 89.50, Steo: 100.00
KL: 905.2, Word: 88.86, Topo: 98.42, Assm: 89.83, Steo: 100.00
KL: 957.8, Word: 88.77, Topo: 98.30, Assm: 89.82, Steo: 100.00
KL: 955.0, Word: 88.55, Topo: 98.23, Assm: 90.80, Steo: 100.00
KL: 917.1, Word: 88.28, Topo: 98.21, Assm: 90.15, Steo: 100.00
KL: 884.8, Word: 89.15, Topo: 98.43, Assm: 89.89, Steo: 100.00
KL: 897.4, Word: 88.86, Topo: 98.36, Assm: 89.45, Steo: 100.00
